,0,1
0,PensoLogoFalo,"Não fique triste pelas vezes que você caiu, sinta orgulha pelas vezes que você levantou."
1,PensoLogoFalo,Jamais perca o seu charmoso costume de sorrir pra vida.
2,PensoLogoFalo,Os verdadeiros amigos dizem coisas boas nas suas costas e coisas ruins na sua cara.
3,PensoLogoFalo,"Se você está ajudando alguém e espera algo em troca, você está fazendo negócios não gentileza."
4,PensoLogoFalo,"Se você tentar fazer o bem a todos, você sempre esquecerá de alguém. “Você”."
5,PensoLogoFalo,"Eu não amo tudo o que desejo, mas amo tudo o que tenho e sou grato por essa riqueza."
6,PensoLogoFalo,"Ela queria ficar, mas sabia que se ficasse um pouco mais, se perderia."
7,PensoLogoFalo,A gente se minimiza demais! Quando devemos maximizar e elevar a nossa capacidade.
8,PensoLogoFalo,O pior castigo pra uma pessoa ansiosa sempre foi lidar com situações que só se resolvem com o tempo.
9,PensoLogoFalo,O melhor de Deus pra sua vida ainda está por vir.
10,PensoLogoFalo,As pessoas nunca serão capazes de entender algo até que aconteça com elas.
11,PensoLogoFalo,"É horrivel quando a pessoa se apaixona pelas suas flores e não pelas suas raizes, quando chega o outono ela não sabe o que fazer."
12,PensoLogoFalo,"As vezes, e preciso aceitar o fato de que algumas pessoas entraram em nossa vida como uma feiicidade temporaria."
13,PensoLogoFalo,"Esqueça o clichê de Hollywood, preocupe-se em se amar, em vez de amar à ideia de outras pessoas amarem você."
14,PensoLogoFalo,Eu foquei tão duro no que queria e perdi de vista o que merecia.
15,PensoLogoFalo,Dói quando você descobre que não é tão importante para alguém quanto acreditava que era.
16,PensoLogoFalo,"Toda vez que penso em você, eu tenho que me lembrar que se você quisesse falar comigo, você falaria."
17,PensoLogoFalo,A preocupação não remove os problemas e desafios. Preocupar-se demais só vai eliminar sua paz de espirito.
18,PensoLogoFalo,"Realização é poder acordar às 2 da manhã, rolar, ver seu rosto e saber que estou bem onde eu deveria estar."
19,PensoLogoFalo,Seja você a sua prioridade e você jamais será uma opção.
20,PensoLogoFalo,É incrível quando os olhos dizem mais do que as palavras poderiam dizer.
21,PensoLogoFalo,"A pior coisa da vida é você morrer, ainda estando vivo."
22,PensoLogoFalo,"Que sejamos senhores de nossa língua, para sermos escravos de nossas palavras."
23,PensoLogoFalo,Não se deixe enganar pelos sinais confusos. A indecisão é a decisão.
24,PensoLogoFalo,"Um grande professor meu costumava dizer, não levante o tom de voz, melhore o seu argumento."
25,PensoLogoFalo,Se arrependa menos e aprenda mais.
26,PensoLogoFalo,O silêncio é o grito mais poderoso que existe.
27,PensoLogoFalo,"Tentamos esconder nossos sentimentos, mas esquecemos que os olhos falam."
28,PensoLogoFalo,"Alguns falam com você em seu tempo livre, outros tiram o tempo livre para falar com você."
29,PensoLogoFalo,"Sábio é aquele que entende que não há inimigo interno, os inimigos externos não podem machuca-lo."
30,PensoLogoFalo,"Não se apresse em nada. Quando chegar a hora certa, vai acontecer."
31,PensoLogoFalo,"Admita. Você não é como os outros, e isso não é apenas bom, mas lindo pra caralho."
32,PensoLogoFalo,"Quanto mais você ama, menos tolices tolerará."
33,PensoLogoFalo,"Há duvida que fica é...Se bater uma crise de madrugada, você tem pra quem ligar?"
34,PensoLogoFalo,Seja a razão pela qual alguém acredita na bondade das pessoas.
35,PensoLogoFalo,"A forma como você faz os outros se sentirem, diz muito sobre você."
36,PensoLogoFalo,Você é seu único limite.
37,PensoLogoFalo,"Às vezes o amor da sua vida, vem depois do erro da sua vida."
38,PensoLogoFalo,Até agora meu único arrependimento na vida é não ter mandado gente o suficiente se foder.
39,PensoLogoFalo,"A verdade irá libertá-la, mas primeiro irá irritá-la."
40,PensoLogoFalo,"Lembre-se, quando você perdoa, você cura. E quando você deixa ir, você cresce."
41,PensoLogoFalo,"Os tempos difíceis não definem você, eles os refinam."
42,PensoLogoFalo,"Não tenha medo da sua sombra na verdade, é apenas um lembrete constante de que há luz ao seu redor."
43,PensoLogoFalo,"Só porque você não me contou, não significa que eu não vou descobrir."
44,PensoLogoFalo,"Não guarde rancor, lembre-se apenas dos fatos."
45,PensoLogoFalo,Às historias que você não me conta. O meu ciúmes não sente.
46,PensoLogoFalo,"Não confie em tudo que você vê, até o sal se parece com açúcar."
47,PensoLogoFalo,"Confie que você está crescendo, mesmo na dor. Confie que você está curando mesmo no silêncio."
48,PensoLogoFalo,É normal superar aqueles que não sabem como te amar.
49,PensoLogoFalo,Apaixone-se por alguém que é seu lugar seguro e ao mesmo tempo a sua maior aventura.
50,PensoLogoFalo,"Nunca pare de ser uma boa pessoa, por causa de pessoas más."
51,PensoLogoFalo,Jamais deixe alguém que é capaz de tocar mais a sua alma do que o seu corpo.
52,PensoLogoFalo,"Controle suas relações, mas jamais suprima suas emoções."
53,PensoLogoFalo,Não vem com essa que sumi. Apenas respeitei a distância que você criou.
54,PensoLogoFalo,"Só erra quem produz. Mas, só produz quem não tem medo de errar."
55,PensoLogoFalo,"Feliz é quem faz conexões profundas, não apegos profundos."
56,PensoLogoFalo,"É engraçado como no dia a dia nada muda, mas quando você olha para trás, tudo é diferente."
57,PensoLogoFalo,Os pensamentos são como sementes. Você decide o que vai crescer.
58,PensoLogoFalo,Nunca foi sobre não ter defeitos. São seus defeitos que fazem de você uma pessoa única.
59,PensoLogoFalo,"Só está realmente livre, aquele que perdoa."
60,PensoLogoFalo,"A melhor vista, vem depois da escalada mais difícil"
61,PensoLogoFalo,O silêncio é a melhor resposta para quem não valoriza suas palavras.
62,PensoLogoFalo,O tempo tem um jeito diferente de nos mostrar o que realmente importa na vida.
63,PensoLogoFalo,"Você pode até pedir desculpas, mas não pode mudar a historia."
64,PensoLogoFalo,A luta é real mas as bençãos também.
65,PensoLogoFalo,Cuidado! Amor-próprio não é egoismo.
66,PensoLogoFalo,Seja o que você mais amou nas pessoas que se foram.
67,PensoLogoFalo,Se isso te faz feliz. Não precisa fazer sentido pra ninguém.
68,PensoLogoFalo,Você deve a si mesmo o amor que dá tão livremente aos outros.
69,PensoLogoFalo,"Não tenha medo de compromisso, tenha medo de perder seu tempo."
70,PensoLogoFalo,"Sem risco, sem história."
71,PensoLogoFalo,Palavras machucam e pessoas sagram.
72,PensoLogoFalo,Todo dia é uma segunda chance.
73,PensoLogoFalo,Tem dias que até respirar dói.
74,PensoLogoFalo,O tempo é tudo que temos e não temos.
75,PensoLogoFalo,Seu futuro precisa de você. Seu passado não.
76,PensoLogoFalo,"A solução do seu problema, está em frente o seu espelho."
77,PensoLogoFalo,"Encontre a chave para a felicidade, fiquem longe de idiotas."
78,PensoLogoFalo,O problema é você achar que tem tempo.
79,PensoLogoFalo,Dê a si mesma respeito o suficiente para se afastar de qualquer pessoa que não veja o seu valor.
80,PensoLogoFalo,"Você fica muito parecido com as pessoas que mais convive. Então, escolha com cuidado."
81,PensoLogoFalo,"Tudo passa, inclusive o sentimento."
82,PensoLogoFalo,"Deus sempre vai nos surpreender com algo muito maior e melhor do que buscamos. Nós somos limitados, Deus é infinito."
83,PensoLogoFalo,"Algumas estradas você precisa seguir sozinho! Sem família, sem amigos, sem parceiro. Apenas você e Deus."
84,PensoLogoFalo,É tão gostosa a sensação de algo reciproco.
85,PensoLogoFalo,Prepare-se para coisas que você ora. Porque às vezes o “atraso” é a sua preparação.
86,PensoLogoFalo,Tratar bem as pessoas é melhor que postar versículos biblicos que você não pratica.
87,PensoLogoFalo,"Deus eu não sei qual foi o livramento hoje, mas obrigado por cuidar de mim."
88,PensoLogoFalo,"Só existe cura, quando você aceita que precisa passar pelo processo."
89,PensoLogoFalo,"Sou 100% reciproco, desde o carinho ao desprezo."
90,PensoLogoFalo,Às vezes é necessário fazer umas loucuras para ter história para contar.
